Δ Founding Member	Ethereum Address	Genesis Sentence 🌝	MVT (Movement Token) Balance	Movement Activity	Bitcointalk Rank	Spheres	Vote #00001	Media	Greenpoint	Contributor	Ambassador
de_xt	0x79138d87A9265d2123178a4Db9D2f698f93d308B	zapato caballo manzana coche juego	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 01.10.17 #2 Airdrop Participant Hard Cap Proposal: 2000 	✓			
therealbigcoin	0x486ca2D5247a582a2DA074a449e2E6F521b0E7ce	list army story what hotel	1252	No Vote	Full Member						
yesiam6	0x9d8B1c160bc864170fc8a679Bf90F4F8287e7aFc	The Sheep is a flying vehicle tiger	11504	1	Hero Member	Sphere Name: German Community✓ Description: I want to join #56 SEELE^^01 German Community as a Member and i will follow and contribute my help and wisdom to everyone in need. Long lives the movement DAO!	#1 Airdrop Closing Date Proposal: 11.10.17 #2 Airdrop Participant Hard Cap Proposal: 3500	✓	✓		
sammrheza	0x398863eF2844fB52f99b2FfB64a633563F228b46	im king in the north !	1252	No Vote	Full Member						
ghoom2	0xBB5A3583d49b85E57cC062AcB361C8A7f2F3F724	Je pense donc je suis	1252	No Vote	Full Member						
sabbathawk	0x41103Dd6015DfC98684A3E885A10aA467a4f3440	let's do it forever and ever	8765	1	Full Member	Sphere Name#1: Eastern Europe community manager (Ukraine, Belarus, Russia, Moldova, Georgia)✓ Description: Manager for communication, promotion of movement in EE Sphere Name#2: Crypto Research✓ Description: Researching ico, other projects and cryptocurrecies	#1 Airdrop Closing Date Proposal: 15.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000	✓			
tyz	0x1971e020a818101661dd5472af4de667c6831de0	cloud grasp view vast begin	1789	No Vote	Legendary						
Jimmy2011	0x299aaaC3dF36c1Ba15FA22c591BD9B82F7b33867	It is a good day.	1566	No Vote	Hero Member						
thelever	0xCD0E45f9B79e7397DA4893E68b8DeAfc05Da753A	saya juga ingin coin gratis dev	1252	No Vote	Full Member						
Benezim	0xBa147cE0662E8E388b626a3d5E3B56Db291330bB	This will be a huge success	2782	0.5	Member						
^BuTcH^	0xe931cfd8d5b096bb65c4c1fe12c6f016b0db65fa	Vivi e lascia vivere... live and let live	9182	1	Full Member	Sphere Name: GPU Mining✓ Description: Sphere aiming to share knowledge of GPU mining hardware and mining software.	#1 Airdrop Closing Date Proposal: 31.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000	✓	✓		
scott0577	0x6F60c1Fd0711399D0d281Ca42Df70A44761BB664	You only live once, but if you do it right, once is enough	1392	No Vote	Senior Member						
Asi4btc	0x5Ac1da2C24CEfa5D31eF334f97bBdCffA6dcc9dB	ни что так не усиливает веру в людей как 100% предоплата	1392	No Vote	Senior Member						
Piggy	0x6D17ffB1b3a369CF0Dc9203c90E019830A258A76	bombolino is freedom of choice and consensus for the mass	31222	2	Full Member	Sphere Name: Crypto Hedge Fund✓ Description: This is for people who are looking to invest or share opinions on the best investment funds available and upcoming.		✓	✓		✓
ttookk	0xa5E620E030C927560810d3627fe3CE7C7e441ABA	Truth is the invention of a liar	1566	No Vote	Hero Member						
1977Vlad	0x81df114b711dcf8e5c539870100367c5bc98c29d	Night Earth Vitebsk Doll Rain	1252	No Vote	Full Member						
bloogy	0x92938478236DAd7877b43379B64051801e85fb4a	due pretty soldier draw nature sky	1252	No Vote	Full Member						
acemibtc	0x2f7Fc648AF6f10B34DC88374951395DF39c085bc	velo moto auto samo paro cross	1392	No Vote	Senior Member						
AliCris	0x5bfd721C27c90834b0f761Cf224703380F413596	бери все и не отдавай ничего	1392	No Vote	Senior Member						
maiz420	0xfa20278Ed7c6327Fd380a931AbdE77deEcB1F578	моя первоначальная фраза из пяти слов и более	1252	No Vote	Full Member						
salcon	0x4F121e3dcE4b3E1F777D83dA955E03D7B23342b3	bright sun on a blue sky	1252	No Vote	Full Member						
c0in_junkie	0x27d17d17b9132f8eC235622f59CB084289A1E1e3	hello world hello dao hello	4638	0.5	Senior Member						
Roman_P	0x14f912b130F5eE96591CFb33f68173dA7c00F5EF 	Люблю свободу как рыба воду	8348	1	Full Member						
Seneka	0x809C51e868c3977139e13CB99333EAa0e7915BDB	Carpe diem, quam minimum credula postero	1566	No Vote	Hero Member						
ferumflex	0xC159f556b731A4e17e69aB326d7181899e5e20a7	google golem goverla gosu gost 	1252	No Vote	Full Member						
xolod	0xe221311f5ea9a41f2416b6b51bacf6fd05f5c012	десять тысяч обезьян в жопу сунули банан	1252	No Vote	Full Member						
Münzpräger	0x9481898b9BB13D523BA8296D90dECe7a955f92d1	An idea can never die. The master has failed more times than the beginner has tried.	10202	1	Senior Member	Sphere Name: German Community✓ Description: I want to join #56 SEELE^^01 German Community as a Member and i will follow and contribute my help and wisdom to everyone in need. Long lives the movement DAO!		✓	✓		
sikkan	0x8771635633793646339b3d4BCBBafFF72FFbC283	Creeping death may be one of the best songs ever written	1392	No Vote	Senior Member						
Adriano2010	0x5F543Ecf04120bE2B156773a09C3b5Bb2F9D711A	This DAO token is the future	10957	1	Hero Member	"Sphere Name: GPU Mining (^BuTcH^)✓ Description: I want to join GPU Mining as a Member and i will follow and contribute my help and wisdom to everyone in need. Long lives the movement DAO!" Sphere Name: Creative Designs for the DAO (FreshB)✓ Description: I want to join #324 freshb Creative designs for the DAO sphere as a Member and i will contribute by commenting on images, and providing images and suggestions for DAO.		✓			
smokim87	0x601982B49133e5223eD2653CfC384e9C9315b998	HODL HODL HODL HODL HODL	1566	No Vote	Hero Member						
qwed	0x83cc1f5ed5f385817dfa73e8051d20501c940b7c	Money often costs too much lool	1566	No Vote	Hero Member						
midvidyk	0x64F9706Fb189807c3e64F3e4228b36005eeAebCd	Those who cannot change their minds cannot change anything	1789	No Vote	Legendary						
pinoycash	0xCD04b143DB33d4dD52Dbab830b73b202F533710E	i love this kind of airdrop my first time	24927	1.75	Hero Member	Sphere Name: Video/Blog✓ Description: I want to start blogging for the movement and create video to introduce the project		✓		✓	
GTTIGER	0xD78Ac6FFc90E084F5fD563563Cc9fD33eE303f18	the point is creating meaning	1392	No Vote	Senior Member						
len01	0x5830f35b6901dE50B6A75B6E19b21A375C20853a	i love crypto world and you	1566	No Vote	Hero Member						
danniel	0x805d90D33dcEDAd0f8eFC6510dbB067Fe4B36674	let's rock with the movement of dao	5844	1	Member			✓			
FoLi	0xAD04c294Ee79CE685138396793d8b52b03162bF9	We will build a new economic model!	2782	0.5	Member						
Zero1One0	0x6eB6C79985045043458769FbfbD6790CB5eB4882	blockchain is changing the landscape	4174	0.5	Full Member		Airdrop Closing Date Proposal: 17/08/2017 Airdrop Participant Hard Cap Proposal: 777				
Johnny Carsonogenic	0x563B4a34E0f24c08da33642A5110f3DD4386861E	Never use a big word when a little filthy one will do.	4174	0.5	Full Member	Sphere Name: MicroMarketCap✓ Description: One stop Sphere for all members of The Movement to discover up and coming projects before mass adoption. 					
seyola89	0x7d334D22F5BcDED7aC7219ec537C7d5448Bd1E4C	I am very priviledged to be part of this Genesis airdrop of movement DAO project	6123	1	Member	Sphere Name: Social media, forums and groups promotion✓ Description: I will contribute to the enlightenment of people about that MovementDAO in social media like Twitter, Facebook, online groups and forums.		✓	✓		
Burovik99	0x9Af41c3f89FED7C6db78Fa2920A3EeB1617a3bb8	Откуси кусочек сочного базальта сейчас	1566	No Vote	Hero Member						
MrEHQE	0x008266F574417c8cC5D5C9A74EC6fdb0B98A767F	when thing get a little rough	1252	No Vote	Full Member						
TotalPanda	0xfD40D1ab20AFBDd402C6C71e53A26d4fBE07Fd12	道 Ce matin, j'ai vu des sherpas népalais rue de la Paix 道	5963	0.5	Legendary						
cryptor47	0x67501eff702C704Bfa175cFda7df3d2378858AB5	tree money world bike bread nose robot tea	4174	0.5	Full Member						
Scaccomatt0	0x0387FCDBA9B695926f21ae1B0701fADc85B28744	dal letame nascono i fior dai diamanti non nasce niente	1566	No Vote	Hero Member						
Golova4lena	0xaf3557C2014894F3C10fB3fAD9F8019067D0a11A	world is the fine place	1392	No Vote	Senior Member						
jefrihunter	0x27ed907b8DF48b7C90a16D9050915Ee3Fa2dd1E8	aing mapay irung dina macan	1252	No Vote	Full Member						
Aabcde	0xD3cb4dCFeA868d62b310712DED6E4e435913c3dc	In Bitcoin and Ethereum I Trust	1392	No Vote	Senior Member						
hardinero007	0xC2c2dE8f2977EBA75ad2F2Ae516A2Cf7C985552E	washington lucy sharon sherwin sherlyn sheela	1462	No Vote	Senior Member			✓			
POPPP	0x8A654566EDd646283C920e3225873fCa5370f489	abracadabra la DAO est la	2782	0.5	Member						
Sam123	0x04EAEFb4d883Ba3967F09445e4b9d2014Ad6D30d	Hello Sile How Kian Do	1566	No Vote	Hero Member						
efx	0x4fB12CeB742d5Ecc78F417A19898F27eaB87DAd9	I think this project is good for the future	1392	No Vote	Senior Member						
zoata87	0x8E97d63b75d0E9E6A3b5e44054d1fc28b134B2C4	analyse dusty ancient snobbish true violet	1566	No Vote	Hero Member						
Bybox	0xF1ad946Ae30a285D96ea396acd3fd22c5Aa75eF8	train panicky functional succinct hypnotic judicious apathetic knee	1392	No Vote	Senior Member						
stormcleric	0x1CD26Ed114E0201DF444CE7D74020E7b0DDD4Edc	destruction cabecera thrones forget borrado	4174	0.5	Full Member	Sphere Name: Spanish Sphere✓ Description: An sphere for the Spanish community on The Movement. Translations, discussions and support in Spanish.		✓			
cryptovan	0x2066d4bB02B6E17ffe8b4795c3029fC9572dFa76	At first chains were created, and then came autonomy.	835	No Vote	Member						
gawlea	0x6122a451766EaF7DEF2E113Ac2b44c0675F28d10	In a truly free world, there are no limits.	22157	1.75	Senior Member			✓		✓	
fonship	0xCE3fcf5924753d948be0b184A2916c9199F781C2	lets make world more open place	9184	1	Full Member	Sphere Name: India✓ Description: Group for people from Indian community,  Sphere Name: Creative Designs for the DAO Description: I want to join #324 freshb Creative designs for the DAO sphere as a Member and i will contribute by commenting on images, and providing images and suggestions for DAO. Sphere Name: Startup Incubator✓ Description: Coworking space for startups, providing investment help and growing the startup.		✓	✓		
alvinmtp	0x00ada5bf8ef794fdd916bdc06e032ac1613dffa3	Watcher of the Blue Skies	4870	0.5	Senior Member	Sphere Name: Associates✓ Description: members of a team of workers who collaborate to ensure that community needs are being met.		✓			
garmin	0xe8cee5B65211c5bB5141d7e34658df361fE7F8Ac	DAO will be the new movement	1566	No Vote	Hero Member						
Matic	0x44f31e562159cB461F7Df68afB08081a44e30397	i like the idea behind this movement	1252	No Vote	Full Member						
Deki1904	0x00C99a2Bb150909d19ce9Ea4e6393A408E35EC82	dragon mind flying green cities automobile	4638	0.5	Senior Member	Sphere Name: German Community✓ Description: I want to join Sphere German Community in order to support the Movement with my skills in GPU and Asic Mining.					
knuckey	0x3674f023B945c11Da1C2D2579eE59E528429EB48	lets make this coins in the top 30 coinmarketcap	1392	No Vote	Senior Member						
hotwired007	0xb248f89deb262a81666D11d9e5C48963204D0DF3	i am hotwired007 from bitcointalk and rank hero	1566	No Vote	Hero Member						
kbhutto	0x2eD8cd2969bD794eAcAe5E37834dF34eB96268dd	lets make the price more than the last DAO 	1392	No Vote	Senior Member						
soothaa	0xfa8eda5139Ec1EB480e5cc67e99920C70A8361C6	Correct horse battery staple - this is not a full sentence.	1392	No Vote	Senior Member						
nitehawk	0x3824B84A2d621662a1d057141148882F2d97d3Ff	will there a bounty for translation 	1566	No Vote	Hero Member						
ParmaBTC	0x1e9F34D7d69F6f397882d6716955cC2D0fcF1DF4	This Bitcoin DAO IS very disrupting thing VERY interesting	5217	0.5	Hero Member						
sidik7	0xdE259fa36EB36F532C586ea5594FE7929D27D68d 	repeat and move to grow in future	1252	No Vote	Full Member						
Republikcoin.com	0xd848b8d40F2C7921BFaaD20db473F1bC0501DB19	Let's look at new Projects and new experiences	1789	No Vote	Legendary						
buzzkillb	0x23B5EAedB07A4bF4F1dD38AaaF9309fA2d3FD7a7	bitcoin moon hodl lambo rollercoaster	8765	1	Full Member	Sphere Name: tweettweet✓ Description: Tweet about the Movement news for my crypto only twitter account.		✓			
metalron	0x80d1c0B8eA4999A750239123B5B198CecADf1fA7	one maximum genesis application person       :D	2782	0.5	Member			✓			
oleg1984a	0x2D32E965094bD0E786bbaEF27099309DA83fe25d	спасибо за раздачу будем ждать вознагрождения	1392	No Vote	Senior Member						
Ruggito	0x6064D7B7Fe02F80442c80BaD0a5f83Cf84e5b198	Tanto va la gatta al lardo	1252	No Vote	Full Member						
taurados	0x5574A6E02B4c5DB872603cbbB9c24B951E12a9F9	Crypto is like sex even better	1566	No Vote	Hero Member	Sphere Name: German Community✓ Description: I want to join #56 SEELE^^01 German Community as a Member and i will follow and contribute my help and wisdom to everyone in need. Long lives the movement DAO!					
bananadines	0x58128B2bDA86e6d754919fE4574d3D2645a2Af2f	The dev and the team is very good. This will be a very good project	1566	No Vote	Hero Member						
sakahayang	0xf3b9700203e14d79392bea3ff187367099c3fca9	bitcoin and ethereum best crypto	1252	No Vote	Full Member						
vivland	0xe354A30CcFDDA55148eA472Ad4A0835c08ca3E8C	sid pool match google cat	1392	No Vote	Senior Member						
Ezravdb	0xE6aA2c1d7E6539AB8FdE911C2b968AEE718c4Ad8	lets make this airdrop to be a Legendary Airdrop	1566	No Vote	Hero Member						
superbit	0x660E067602dC965F10928B933F21bA6dCb2ece9C	winner winner how about chicken for dinner	1566	No Vote	Hero Member						
boomboom	0xDD85687F51217c698F4F79E4a0Ad441a48e3d8C8	the fruit of human kindness	5478	0.5	Hero Member			✓			
wbulot	0xc0248563aBBC69E3ED7d7A81c5893Bd90B21cbf7	Can't wait to be part of the Movement !	1252	No Vote	Full Member						
puremage111	0x6c2e4Cd0deb91bcCCa154F4f702503a49895F592	Small Torn Rock Meow Cute	1566	No Vote	Hero Member						
lvsca	0x45F625d1B4eaED944Ab2af1D95D5fF1601a8199F	movement DAO will get more people to build bigger community	1252	No Vote	Full Member						
Norbie	0xfFEc529b9D6DBd017B6D3812f8CABd9bBDeF5333	Боты не пройдут движуха интересно	1392	No Vote	Senior Member						
rafeyip	0xa971d370e653261b38830522429054c49ea892A6	DAO Genesis growing potatoes on Mars.	4716	1	Jr. Member	Sphere Name: Chinese Community✓ Description: I would like to become translator for the Chinese Community in order to spread the movement in China. build QQ group where the DAO movement enthusiast in China can talk there. Build Chinese website to post the DAO movement information. Comment: If you would like to build a team, please contact #386 Qiman. We have established the Chinese QQ group（QQ group ID：361049202）, 300 CryptoCurrency enthusiasts inside，【Chinese Community build】	#1 Airdrop Closing Date Proposal: 30.9.17 #2 Airdrop Participant Hard Cap Proposal: 3000	✓			
ioanbtc	0x1e2304d9Dc070E94C8Ae799fD6b6F8d5F53B84c1	The DAO movement is unstoppable	1462	No Vote	Senior Member			✓			
bitcoinuserz	0xEA2b65BeDFAA0803f01A05A45cb34f4123bec69e	Why is it that there are more ethereum tokens now on bitcointalk? Should we rename this to ethereumtalk?	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 31.9.17  #2 Airdrop Participant Hard Cap Proposal: 2500	✓			
Jdope	0x9B050514C232e206d55D07823Dac494d8aE359FC	Pain Drain Main Stain Cobain	1392	No Vote	Senior Member						
niisarearning	0xD47a3110627DB2bC8398d94d9C178405aE8bd2B3 	want to part of unstoppable organisation would like to contribute on project growth in future	1252	No Vote	Full Member						
S3cco	0x32F79F9C3AAe56ADAAc54EA68d60b58CcE3dc8De	cazzo culo merda fica tette	10435	1	Hero Member	Sphere Name: BitcoinGarden✓ Description: Promotion of the project on bitcoingarden.org (newssite, forum, socials)	#1 Airdrop Closing Date Proposal: 10.10.17 #2 Airdrop Participant Hard Cap Proposal: 2500				
cjmoles	0xe6c4fE426D3F8147471067793b42470E5b4af1e1	Lumpy lumped lumpy lump lump	24927	1.75	Hero Member	Sphere Name: Pokersphere✓  Description: A group of experienced online poker players actively searching for, promoting, and developing fair alternative currency poker platforms.  Community networks include cryptocurrency forums, poker forums, and popular poker sites.	#1 Airdrop Closing Date Proposal: 1.11.17 #2 Airdrop Participant Hard Cap Proposal: 1000	✓			
Crazydome80	0xEEbf466138FF8AAf956326479Bcef58e161E1F63	May the movement with you	1381	No Vote	Full Member	Sphere Name: German Community✓ Description: I want to join #56 SEELE^^01 German Community as a Member and i will follow and contribute my help and wisdom to everyone in need. Long lives the movement DAO!		✓			
yaooke	0x182dd1be34cbfb5d4b5b263a2b6b8c1b661e77cf	In the beginning God created	1392	No Vote	Senior Member						
FridaKallo	0xc12E8288171b1721f217FF0D50d3fAB0034F2552	Толстолобики - это не только рыбы	1252	No Vote	Full Member						
Fantum	0x2574ec620b790e9F2483386aD5A09cF4B0b84115	stan dan apple peach bitcoin	1392	No Vote	Senior Member						
TechPriest	0x51103CEe5d0D74475788Dda82aF7fd6d9622B801	All venerate the Immortal Emperor	1252	No Vote	Full Member						
Axy	0x41b30824b09e385299357168cFb58cEe1074Af8d	Create your Genesis Sentence 5 words min	1462	No Vote	Senior Member	Sphere Name: retweets✓ Description: Retweets from my Twitter account		✓			
seasonw	0x1343ebB4D2ABD16DB3Fc0D8eb7461532346d17C9	Data Access Objects in Windows Development	4638	0.5	Senior Member						
avalonboy	0x1CC5e28EB316e446AF3007bA573f0B8Fa6bC1D1E	your top headline is 1 prizefighter beginning with M	1392	No Vote	Senior Member						
siwakotisaurav	0xc8dBeE8C42D735559C39240bAA7fAB0D64145cef	simple forum find members name1 name2 donate profile logout stable version	1392	No Vote	Senior Member						
Khufuking	0xc88f806afe08c72100b2f756dbd1f607829d0947	Can You Think Of What I am Thinking I Guess Not 	1462	No Vote	Senior Member			✓			
klarki	0x2F3C7A797cd7A66C3734375941baB14F1cbCF357	exceedingly amortisation aviary audibility expenditure	1566	No Vote	Hero Member						
teletobi	0x510f6264f3819A76E125f5fAf10d4575d420437C	pain-apeak-gloom-unbeaten-inhale-hearing-paprika	1566	No Vote	Hero Member						
Yefet	0x24802cF659A5974B00989575b23532Ab696f2df8	yeah music clutch frost lust ghost change couple scene taste invite fate	1566	No Vote	Hero Member						
silvercell	0x9c82F46aCE73D44557407362Ba263df7c1fb97E6	Hope DAO will turn out to be a success in the future.	1252	No Vote	Full Member						
civilufo	0x36c8f7C03EfA71767b30c25cD0441f8b300D5950	bumper bumps into another computer	1315	No Vote	Full Member			✓			
xux99	0x612Cd9591AA0abfE5fB02B02FbF21CD25A9f8787	python mermaid apologize smile search sea confidence blow begin grey mark nebula	835	No Vote	Member						
doriangray	0x9B93d8d1CBf882ab2871fa9010D5572d9f67C8B5	Forging crypto products for everyone	1566	No Vote	Hero Member						
ZuSinus	0x6204593E74aAaE121a0af0FB31bdeF6FD8a3b0c9	A bird in the hand is worth two in the bush.	1252	No Vote	Full Member						
capedbaldy	0x2A24492631508D5ddA1aB6B9F4b854f7E158A05D	I wish this project will successful, thanks	1462	No Vote	Senior Member			✓			
rtinedal	0xba5940750e625Fc862FA99C88943ea1C6183cf2a	This is a good concept of giving you good	1252	No Vote	Full Member						
Kda2018	0x2Da4508F12cF70c92beB4D517aDa86d24461EdAc	I'll be King of the Samurais	1392	No Vote	Senior Member						
OneUnderBridge	0x6B820cc28b453634a9868Cb2A0a18EE1Ad8aa3eA	Bad trolls live under bridges	19942	1.75	Full Member			✓		✓	
Krasnoarmeec	0x436C7Eb6C82b1686ec75105E4d60f8E386cdCce4	Do not miss your chance, start right now.	1392	No Vote	Senior Member						
Alohaboy?!	0x28390dB58DF83Ecc4487da371F6a13d216B86B9E	Aloha from the crypto side	5217	0.5	Hero Member	Sphere Name:German Community✓ Description: Crypto ethusiast, TA, charting, investment advice					
oldminer78	0x9eb429cB38AD55553A6E83CcACD178C7fd27A26A	The whole world rests when it works.	1392	No Vote	Senior Member						
yourcatsofat	0x27FE8F2B6465708A0232B53B8df7f70Af4552E42	Looks like a good project. Good luck and thank you.	1392	No Vote	Senior Member						
wojteks102	0xcF385E9b7A6080a7CC768F5B0E2D5dcE593e1Eb0	After success The Movement will be a normal thing for them	1392	No Vote	Senior Member						
PolyPanto	0xED28d42F729001f8Df3DFF141cdcdB9042bf6790	Internet citizens unite in one in cryptosphere! Let's create the future together!	1392	No Vote	Senior Member						
TAPAKAH	0xaA4dD782693A72d4Ff7Dc472E06c369F6520D672	Join the unstoppable organization vibe and create your Genesis movement!	1566	No Vote	Hero Member						
lega46141	0xd038c7D97f4be623f5c035b4Cc1f950567b2931e	retern lega magic kukuruza tapar	1566	No Vote	Hero Member						
kchulani	0x56EB4d25984265A416Fa895Ce72b900786FcF1A0	The Future of Monetary Policy is Blockchain	1252	No Vote	Full Member						
coinling	0xDf28a05a49199Dcf8b9129309e5be2081DF4718C	i love crypto space and all the exciting blockchain projects	1392	No Vote	Senior Member						
ja23	0x8a95a1EfC14E0b0fe89cec3A88c3820955c13608	Genesis got to get Sega Genesis	1392	No Vote	Senior Member						
steinkopf	0xF74e106D9a4921E5C34b1f0cF5ffaa46202C2416	Do you want the Movement? Connect and Create your Genesis Sphere!	1252	No Vote	Full Member						
Sincere_	0xc8cEe31A8120354Ea51F89245Ee6166B4729Ea49	Please get me Richer than Rich	1392	No Vote	Senior Member						
devlin	0x4f837C94f23d4fe7e8046D9BfBD498fD29E70DFe	Let's hope DAO will be a big player	1462	No Vote	Senior Member			✓			
CoinManiac1	0x68476977382d9cb85d11775B79252ee7d2859738	I love at what I do	11504	1	Hero Member	Sphere Name: Twitter Marketing✓ Description: Once the coins have been distributed, I want to keep aside a portion of my coins for a twitter contest for marketing. Kind of a bounty thread.		✓	✓	✓	
maursader	0x92329B8671f10c7BBBeAf64Cc54f785dd43ebc09	DAO will make the altcoin space a better place	1392	No Vote	Senior Member						
zxbball	0xe6F0aC50124EfC25155f6406aD717cE24E3ff314	I realy love the movement dao 	1392	No Vote	Senior Member						
sgk	0xb6c29571bd06717a9418a83a6728b41f1d5d5c31	Welcome to the party, guys!	1789	No Vote	Legendary						
iad_xo	0x45883f42CA077b835187D6D1F42765801802ba53	Love to see nice project like this. DAO is next revolution 	1252	No Vote	Full Member						
bobo012	0xD1ccEE2b4c8Af8bB69A1D47B8de22a2C73c04F7A	Best time to invest was a few years ago, second best is now.	1392	No Vote	Senior Member						
w5pn73	0x068F460D175CC3d95fB54a2bc6Bd340EA6dDde0a	I seem to be right on time	9275	1	Senior Member						
x23a1s	0x59cb48D5CC9D86E587071885454D84eB357c5A5c	Im happy to join this project.	1668	0.3	Member						
jc12345	0xD2C80D65E63f6363C1cA282C30511f58228398C4	Make it happen with the movement	3577	0.3	Legendary						
pallas	0x5AcD13F28CC8c19b9D05AAa0D5116ecFb6FB237a	When you bow deeply to the universe, it bows back	3577	0.3	Legendary						
clearclear	0x2a1B1ACf9aFb40764B5286f2b6134B82379E7624	Run as fast as you can	2505	0.3	Full Member						
Decentralix	0x3d1714Ef50992330524DFCE0F8808e653fa768D6	Warmly inviting humanity, befriend and create. I'm Decentralix drinking coffee with Merlin, 24. October 2017 Love for everyone	1430	0.3	Jr. Member						
albertdros	0x0D8C08FfB9214DC01e851E09AF865E09EeD0a7f1	banks crazy apple chair seen	3131	0.3	Hero Member						
mari4nn3	0x3016304b56266cc5fBD22D5d4CEdEbC19Ad43dC7	Together we can make the difference	1668	0.3	Member						
Ai7xpressTV	0x36CFC3A5051D4027cf99656EF926e6E49C636aC3	where have all the flowers gone	2782	0.3	Senior Member	Sphere Name: DAO Crowdfunding✓ Description: Community organized crowdfunding campaigns for stuff like exchange listings or similar.					
witch	0xcEA8F93b03D55E34D41655d3fbe173A9944956D6	revolutionize the crypto space with human power	2782	0.3	Senior Member						
h1pps	0x1b75384E334Cb900EDa3A48422058fdbd4a431fF	Life is like riding a bicycle. To keep your balance you must keep moving.	1251	0.3	Newbie						
loup	0xDb75940dD22Cb6e38713b789Ee4Af1c2cc682e59	I would like to be sleeping instead of working for Fermin	1668	0.3	Member						
legion_miracle	0x8a23A97E4f7C3776E7222aD8C541Dc6572aD5971	trade my shitcoin for bitcoin	1668	0.3	Member						
Grafschmidt	0x057Eb070a14F30199A08BE0F6Fc0a8F0b39c588e	A doctor can bury mistakes, an architect can only advise their clients to plant vines.	2505	0.3	Full Member						
Montex	0xc0912605d37e9b9d7e7368e507b19b0c40f232b0	I asked for this Revolution. Cyberpunk is now.	1251	0.3	Newbie						
muvie	0xa4bE2a03FA6Fc1F4008302dB6bFd2e65643e70Cf	we are all born mad	2782	0.3	Senior Member						
cryptosamuri	0x5aEa0B817a2D70B980d90947cb29e9ffE8f6d66d	dao- the synergistic effect on a group of people when their combined talents have greater effect on the whole than they could ever have had if their talents had been used individually!	1668	0.3	Member						
acorcos	0x1F85d2744370148ef2811D8F7e0aA72910660750	the harder you try the harder it gets	2505	0.3	Full Member						
levyashin	0x68b4683475747e28a83596e94b58187d452099cf	life is short stay awake for it	2505	0.3	Full Member						
btcdepo	0x63e1f12A095235644fc393366ae03fAFB33503f0	Unstoppable organization, do not even try to stop it.	1668	0.3	Member						
PinkHead	0x6989F3f5E70bAC194f2fdC9D607f92083292C624	Show Me What You Got!	2505	0.3	Full Member	Sphere Name: Разработка игр [GameDev]✓ Description:Ресурс предназначен как для профессионалов игровой индустрии, так и для новичков, которые делают свои первые шаги в этой отрасли. Сфера "GameDev" является отличной площадкой для размещения любой информации, касающейся разработки игр и игровой индустрии с использованием инновационных технологий. Здесь каждый может не только получить или поделиться знаниями и ценным опытом, но и заявить о себе, о своей команде, о своём проекте.  Основная цель проекта "GameDev" — развитие технологии Blockchain и оказании помощи по ее внедрению разработчикам игр. Любой может участвовать в развитии сферы.					
gumshed	0x01252EE01660372Bde8E3c1856637b5fE1a0Ca88	What a long strange trip it's going to be	1251	0.3	Newbie						
